+-----------------+-------------+----------------+------------------+
| Количество эпох | Размер окна | Норма обучения | Суммарная ошибка |
|      16000      |      4      |      0.35      |      0.0001      |
|      16000      |      4      |      0.4       |      0.0001      |
|      16000      |      4      |      0.45      |       0.0        |
|      16000      |      4      |      0.5       |       0.0        |
|      16000      |      4      |      0.55      |       0.0        |
|      16000      |      4      |      0.6       |       0.0        |
|      16000      |      4      |      0.65      |       0.0        |
|      16000      |      4      |      0.7       |       0.0        |
|      16000      |      4      |      0.75      |       0.0        |
|      16000      |      4      |      0.8       |       0.0        |
|      16000      |      4      |      0.85      |       0.0        |
|      16000      |      4      |      0.9       |       0.0        |
|      16000      |      4      |      0.95      |       0.0        |
|      16000      |      5      |      0.05      |      0.8902      |
|      16000      |      5      |      0.1       |      0.0474      |
|      16000      |      5      |      0.15      |      0.0011      |
|      16000      |      5      |      0.2       |      0.0002      |
|      16000      |      5      |      0.25      |       0.0        |
|      16000      |      5      |      0.3       |       0.0        |
|      16000      |      5      |      0.35      |       0.0        |
|      16000      |      5      |      0.4       |       0.0        |
|      16000      |      5      |      0.45      |       0.0        |
|      16000      |      5      |      0.5       |       0.0        |
|      16000      |      5      |      0.55      |       0.0        |
|      16000      |      5      |      0.6       |       0.0        |
|      16000      |      5      |      0.65      |       0.0        |
|      16000      |      5      |      0.7       |       0.0        |
|      16000      |      5      |      0.75      |       0.0        |
|      16000      |      5      |      0.8       |       0.0        |
|      16000      |      5      |      0.85      |       0.0        |
|      16000      |      5      |      0.9       |       0.0        |
|      16000      |      5      |      0.95      |       0.0        |
|      16000      |      6      |      0.05      |      0.2994      |
|      16000      |      6      |      0.1       |      0.0125      |
|      16000      |      6      |      0.15      |      0.0004      |
|      16000      |      6      |      0.2       |       0.0        |
|      16000      |      6      |      0.25      |       0.0        |
|      16000      |      6      |      0.3       |       0.0        |
|      16000      |      6      |      0.35      |       0.0        |
|      16000      |      6      |      0.4       |       0.0        |
|      16000      |      6      |      0.45      |       0.0        |
|      16000      |      6      |      0.5       |       0.0        |
|      16000      |      6      |      0.55      |       0.0        |
|      16000      |      6      |      0.6       |       0.0        |
|      16000      |      6      |      0.65      |       0.0        |
|      16000      |      6      |      0.7       |       0.0        |
|      16000      |      6      |      0.75      |       0.0        |
|      16000      |      6      |      0.8       |       0.0        |
|      16000      |      6      |      0.85      |       0.0        |
|      16000      |      6      |      0.9       |       0.0        |
|      16000      |      6      |      0.95      |       0.0        |
|      16000      |      7      |      0.05      |      0.2011      |
|      16000      |      7      |      0.1       |      0.0055      |
|      16000      |      7      |      0.15      |      0.0002      |
|      16000      |      7      |      0.2       |       0.0        |
|      16000      |      7      |      0.25      |       0.0        |
|      16000      |      7      |      0.3       |       0.0        |
|      16000      |      7      |      0.35      |       0.0        |
|      16000      |      7      |      0.4       |       0.0        |
|      16000      |      7      |      0.45      |       0.0        |
|      16000      |      7      |      0.5       |       0.0        |
|      16000      |      7      |      0.55      |       0.0        |
|      16000      |      7      |      0.6       |       0.0        |
|      16000      |      7      |      0.65      |       0.0        |
|      16000      |      7      |      0.7       |       0.0        |
|      16000      |      7      |      0.75      |       0.0        |
|      16000      |      7      |      0.8       |       0.0        |
|      16000      |      7      |      0.85      |       0.0        |
|      16000      |      7      |      0.9       |       nan        |
|      16000      |      7      |      0.95      |       nan        |
|      16000      |      8      |      0.05      |      0.1275      |
|      16000      |      8      |      0.1       |      0.0061      |
|      16000      |      8      |      0.15      |      0.0001      |
|      16000      |      8      |      0.2       |       0.0        |
|      16000      |      8      |      0.25      |       0.0        |
|      16000      |      8      |      0.3       |       0.0        |
|      16000      |      8      |      0.35      |       0.0        |
|      16000      |      8      |      0.4       |       0.0        |
|      16000      |      8      |      0.45      |       0.0        |
|      16000      |      8      |      0.5       |       0.0        |
|      16000      |      8      |      0.55      |       0.0        |
|      16000      |      8      |      0.6       |       0.0        |
|      16000      |      8      |      0.65      |       0.0        |
|      16000      |      8      |      0.7       |       0.0        |
|      16000      |      8      |      0.75      |       0.0        |
|      16000      |      8      |      0.8       |       0.0        |
|      16000      |      8      |      0.85      |       nan        |
|      16000      |      8      |      0.9       |       nan        |
|      16000      |      8      |      0.95      |       nan        |
|      14000      |      2      |      0.05      |      3.1028      |
|      14000      |      2      |      0.1       |      2.7127      |
|      14000      |      2      |      0.15      |      2.4926      |
|      14000      |      2      |      0.2       |      2.0448      |
|      14000      |      2      |      0.25      |      1.8625      |
|      14000      |      2      |      0.3       |      1.6652      |
|      14000      |      2      |      0.35      |      1.4661      |
|      14000      |      2      |      0.4       |      1.302       |
|      14000      |      2      |      0.45      |      1.1432      |
|      14000      |      2      |      0.5       |      1.0995      |
|      14000      |      2      |      0.55      |      1.0277      |
|      14000      |      2      |      0.6       |      1.1187      |
|      14000      |      2      |      0.65      |      1.1261      |
|      14000      |      2      |      0.7       |      1.0188      |
|      14000      |      2      |      0.75      |      0.9529      |
|      14000      |      2      |      0.8       |      0.8674      |
|      14000      |      2      |      0.85      |      0.8698      |
|      14000      |      2      |      0.9       |      0.6879      |
|      14000      |      2      |      0.95      |      0.7815      |
|      14000      |      3      |      0.05      |      2.8205      |
|      14000      |      3      |      0.1       |      1.4445      |
